,Distance,Mass,Gravity,Radious
0,0.0,1.989e+30,274.10478078144416,695700000.0
1,8.6,4.1769000000000005e+30,199.1764843048556,1182690000.0
2,4.4,2.1879e+30,209.38559643026983,834840000.0
3,17.0,3.5802e+30,152.280433767469,1252260000.0
4,25.0,3.7791e+30,160.74045786566168,1252260000.0
